Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11285,2022-11-30,-0.062608719,-0.069407364,-0.068293564,21,100
Market-Adjusted Model,11292,2022-11-30,-0.10994053,-0.111346906,-0.115625375,21,100
Market-Adjusted Model,11293,2022-11-30,-0.068029864,-0.076312353,-0.073714709,21,100
Market-Adjusted Model,11308,2022-11-30,0.0609687273,0.0529171494,0.0552838828,21,100
Market-Adjusted Model,11368,2022-11-30,0.1770882575,0.1631211817,0.171403413,21,100
Market-Adjusted Model,11369,2022-11-30,-0.071620859,-0.079231265,-0.077305703,21,100
Market-Adjusted Model,11370,2022-11-30,0.0987899857,0.0896116821,0.0931051412,21,100
Market-Adjusted Model,11379,2022-11-30,-0.058823579,-0.059648359,-0.064508424,21,100
Market-Adjusted Model,11394,2022-11-30,0.1111110988,0.1536632232,0.1054262543,21,100
Market-Adjusted Model,11397,2022-11-30,-0.003323638,-0.008184104,-0.009008483,21,100
Market-Adjusted Model,11403,2022-11-30,-0.014648912,-0.017415165,-0.020333756,21,100
Market-Adjusted Model,11404,2022-11-30,0.1116867212,0.1003508684,0.1060018767,21,100
Market-Adjusted Model,11407,2022-11-30,-0.099944963,-0.10786193,-0.105629808,21,100
Market-Adjusted Model,11442,2022-11-30,-0.049641746,-0.056560411,-0.05532659,21,100
Market-Adjusted Model,11481,2022-11-30,-0.069829704,-0.03112585,-0.075514549,21,100
Market-Adjusted Model,11499,2022-11-30,0.051303588,0.0487095438,0.0456187435,21,100
Market-Adjusted Model,11511,2022-11-30,-0.178470222,-0.196391716,-0.184155066,21,100
Market-Adjusted Model,11533,2022-11-30,0.0232416371,0.0202861922,0.0175567926,21,100
Market-Adjusted Model,11547,2022-11-30,0.0450106912,0.0437709982,0.0393258467,21,100
Market-Adjusted Model,11565,2022-11-30,-0.041243692,-0.047232658,-0.046928537,21,100
Market-Adjusted Model,11581,2022-11-30,-0.076294314,-0.084089022,-0.081979159,21,100
Market-Adjusted Model,11587,2022-11-30,-0.046194291,-0.046886199,-0.051879135,21,100
Market-Adjusted Model,11593,2022-11-30,-0.103299829,-0.112956862,-0.108984674,21,100
Market-Adjusted Model,11600,2022-11-30,0.0560131418,0.0519402025,0.0503282973,21,100
Market-Adjusted Model,11618,2022-11-30,-0.040634645,-0.046807409,-0.046319489,21,100
Market-Adjusted Model,11628,2022-11-30,-0.043471593,-0.04880659,-0.049156437,21,100
Market-Adjusted Model,11636,2022-11-30,-0.201834886,-0.214794194,-0.207519731,21,100
Market-Adjusted Model,11644,2022-11-30,-0.166130563,-0.171626782,-0.171815408,21,100
Market-Adjusted Model,11654,2022-11-30,-0.017610044,-0.016399894,-0.023294889,21,100
Market-Adjusted Model,11664,2022-11-30,-0.03941145,-0.039963378,-0.045096294,21,100
Market-Adjusted Model,11674,2022-11-30,0.0667845666,0.0592699664,0.0610997221,21,100
Market-Adjusted Model,11691,2022-11-30,-0.080065117,-0.086802043,-0.085749961,21,100
Market-Adjusted Model,11701,2022-11-30,0.0601069813,0.0530836704,0.0544221368,21,100
Market-Adjusted Model,11731,2022-11-30,0.0093019142,0.0044103738,0.0036170697,21,100
Market-Adjusted Model,11748,2022-11-30,0.0609172059,0.0583397658,0.0552323614,21,100
Market-Adjusted Model,11752,2022-11-30,-0.017154858,-0.00489596,-0.022839702,21,100
Market-Adjusted Model,11762,2022-11-30,-0.00179396,-0.007598192,-0.007478805,21,100
Market-Adjusted Model,11775,2022-11-30,0.1859155255,0.1810425403,0.180230681,21,100
Market-Adjusted Model,11786,2022-11-30,0.0491900834,0.0577177046,0.0435052389,21,100
Market-Adjusted Model,11790,2022-11-30,-0.202229315,-0.219496198,-0.207914159,21,100
Market-Adjusted Model,11803,2022-11-30,-0.055459304,-0.057200389,-0.061144148,21,100
Market-Adjusted Model,11809,2022-11-30,0.0681777437,0.0642665774,0.0624928992,21,100
Market-Adjusted Model,11844,2022-11-30,0.0108388806,0.0046693643,0.0051540361,21,100
Market-Adjusted Model,11845,2022-11-30,-0.000195089,-0.005904556,-0.005879933,21,100
Market-Adjusted Model,11850,2022-11-30,-0.0609509,-0.067547522,-0.066635745,21,100
Market-Adjusted Model,11884,2022-11-30,0.1097943189,0.1000231863,0.1041094744,21,100
Market-Adjusted Model,11891,2022-11-30,-0.000473774,-0.004523622,-0.006158618,21,100
Market-Adjusted Model,11955,2022-11-30,0.0608860932,0.0526621995,0.0552012487,21,100
Market-Adjusted Model,11990,2022-11-30,-0.079634474,-0.085767989,-0.085319319,21,100
Market-Adjusted Model,11995,2022-11-30,0.1218248998,0.1147985876,0.1161400553,21,100
Market-Adjusted Model,11996,2022-11-30,0.0326043766,0.0254748394,0.0269195321,21,100
Market-Adjusted Model,12008,2022-11-30,-0.097466831,-0.085773771,-0.103151676,21,100
Market-Adjusted Model,12009,2022-11-30,0.0175952885,0.0187985607,0.011910444,21,100
Market-Adjusted Model,12015,2022-11-30,-0.025234017,-0.029597027,-0.030918861,21,100
Market-Adjusted Model,12017,2022-11-30,-0.077499958,-0.023076502,-0.083184803,21,100
Market-Adjusted Model,12034,2022-11-30,0.0235293896,0.0170904977,0.0178445451,21,100
Market-Adjusted Model,12035,2022-11-30,-0.068439162,-0.075528036,-0.074124007,21,100
Market-Adjusted Model,12036,2022-11-30,0.0125837997,0.0075396177,0.0068989552,21,100
Market-Adjusted Model,12039,2022-11-30,-0.029723266,-0.035074559,-0.03540811,21,100
Market-Adjusted Model,12049,2022-11-30,-0.011976029,-0.010984356,-0.017660874,21,100
Market-Adjusted Model,12052,2022-11-30,0.0255333032,0.0189451393,0.0198484587,21,100
Market-Adjusted Model,12054,2022-11-30,-0.006106912,-0.012382203,-0.011791756,21,100
Market-Adjusted Model,12059,2022-11-30,0.0220982835,0.0150029645,0.016413439,21,100
Market-Adjusted Model,12060,2022-11-30,-0.04986602,-0.055653628,-0.055550864,21,100
Market-Adjusted Model,12062,2022-11-30,-0.056414693,-0.062657379,-0.062099537,21,100
Market-Adjusted Model,12064,2022-11-30,0.0069440071,-0.000099238,0.0012591626,21,100
Market-Adjusted Model,12065,2022-11-30,0.0214675594,0.0145923461,0.0157827149,21,100
Market-Adjusted Model,12066,2022-11-30,-0.005324494,-0.01114438,-0.011009339,21,100
Market-Adjusted Model,12068,2022-11-30,-0.057558056,-0.06372548,-0.0632429,21,100
Market-Adjusted Model,12070,2022-11-30,0.0653638971,0.0588541456,0.0596790526,21,100
Market-Adjusted Model,12075,2022-11-30,0.0238311337,0.0170165252,0.0181462892,21,100
Market-Adjusted Model,12076,2022-11-30,0.1440051209,0.1565781788,0.1383202764,21,100
Market-Adjusted Model,12078,2022-11-30,-0.042786101,-0.047209389,-0.048470945,21,100
Market-Adjusted Model,12082,2022-11-30,-0.02239565,-0.025574307,-0.028080494,21,100
Market-Adjusted Model,12084,2022-11-30,0.0201468131,0.0211255155,0.0144619686,21,100
Market-Adjusted Model,12098,2022-11-30,0.0687499791,0.0617444002,0.0630651346,21,100
Market-Adjusted Model,12103,2022-11-30,0.0199413356,0.0135513348,0.0142564911,21,100
Market-Adjusted Model,12105,2022-11-30,0.104595468,0.0947087716,0.0989106235,21,100
Market-Adjusted Model,12109,2022-11-30,-0.123385081,-0.133044124,-0.129069926,21,100
Market-Adjusted Model,12146,2022-11-30,-0.275590564,-0.263033634,-0.281275409,21,100
Market-Adjusted Model,12166,2022-11-30,-0.079545469,-0.079786176,-0.085230314,21,100
Market-Adjusted Model,12189,2022-11-30,0.1220330083,0.1144487648,0.1163481638,21,100
Market-Adjusted Model,12209,2022-11-30,-0.131046458,-0.136728852,-0.136731303,21,100
Market-Adjusted Model,12211,2022-11-30,0.0066853619,0.002156364,0.0010005174,21,100
Market-Adjusted Model,12219,2022-11-30,0.1255695751,0.1156646759,0.1198847306,21,100
Market-Adjusted Model,12226,2022-11-30,0.037884361,0.0337608736,0.0321995165,21,100
Market-Adjusted Model,12266,2022-11-30,-0.043478239,-0.028466927,-0.049163084,21,100
Market-Adjusted Model,12287,2022-11-30,0.0613578197,0.0540596889,0.0556729752,21,100
Market-Adjusted Model,12289,2022-11-30,0.0481501654,0.0404106766,0.0424653209,21,100
Market-Adjusted Model,12292,2022-11-30,-0.000676722,-0.006158354,-0.006361566,21,100
Market-Adjusted Model,12294,2022-11-30,0.0048482775,-0.000085916,-0.000836567,21,100
Market-Adjusted Model,12295,2022-11-30,0.016139216,0.0098029267,0.0104543715,21,100
Market-Adjusted Model,12296,2022-11-30,-0.019449693,-0.025386766,-0.025134538,21,100
Market-Adjusted Model,12297,2022-11-30,-0.017616559,-0.023153343,-0.023301404,21,100
Market-Adjusted Model,12301,2022-11-30,-0.020827731,-0.026646884,-0.026512576,21,100
Market-Adjusted Model,12302,2022-11-30,-0.002187267,-0.008102323,-0.007872112,21,100
Market-Adjusted Model,12303,2022-11-30,-0.001124783,-0.006435416,-0.006809628,21,100
Market-Adjusted Model,12304,2022-11-30,-0.002243769,-0.007890187,-0.007928613,21,100
Market-Adjusted Model,12305,2022-11-30,0.010847427,0.0050043759,0.0051625825,21,100
Market-Adjusted Model,12307,2022-11-30,-0.266666697,-0.287864542,-0.272351542,21,100
Market-Adjusted Model,12308,2022-11-30,-0.153348289,-0.154975493,-0.159033134,21,100
Market-Adjusted Model,12310,2022-11-30,0.0782918252,0.104597081,0.0726069807,21,100
Market-Adjusted Model,12313,2022-11-30,0.0095401921,0.003802221,0.0038553476,21,100
Market-Adjusted Model,12314,2022-11-30,0.0101706614,0.0049554461,0.0044858169,21,100
Market-Adjusted Model,12315,2022-11-30,0.010339803,0.0041720022,0.0046549585,21,100
Market-Adjusted Model,12316,2022-11-30,0.0081483395,0.0023284845,0.002463495,21,100
Market-Adjusted Model,12317,2022-11-30,-0.014374154,-0.019410747,-0.020058998,21,100
Market-Adjusted Model,12318,2022-11-30,-0.021544233,-0.027096378,-0.027229077,21,100
Market-Adjusted Model,12321,2022-11-30,-0.02820377,-0.034021249,-0.033888615,21,100
Market-Adjusted Model,12325,2022-11-30,-0.143201657,-0.142287852,-0.148886501,21,100
Market-Adjusted Model,12326,2022-11-30,0.0262009472,0.0203915975,0.0205161027,21,100
Market-Adjusted Model,12329,2022-11-30,-0.04537485,-0.051630875,-0.051059695,21,100
Market-Adjusted Model,12331,2022-11-30,0.0107479658,0.0055171175,0.0050631213,21,100
Market-Adjusted Model,12332,2022-11-30,-0.048648644,-0.05114556,-0.054333489,21,100
Market-Adjusted Model,12333,2022-11-30,-0.091243487,-0.095959364,-0.096928332,21,100
Market-Adjusted Model,12334,2022-11-30,0.0535899475,0.0474454043,0.047905103,21,100
Market-Adjusted Model,12338,2022-11-30,0.0812249867,0.0750292889,0.0755401422,21,100
Market-Adjusted Model,12339,2022-11-30,0.1563706427,0.1738275206,0.1506857982,21,100
Market-Adjusted Model,12341,2022-11-30,0.0250240522,0.0185502807,0.0193392077,21,100
Market-Adjusted Model,12345,2022-11-30,-0.026651097,-0.030654047,-0.032335941,21,100
Market-Adjusted Model,12350,2022-11-30,-0.132168782,-0.086550128,-0.137853627,21,100
Market-Adjusted Model,12355,2022-11-30,0.0023666812,-0.002280961,-0.003318163,21,100
Market-Adjusted Model,12358,2022-11-30,0.0801529319,0.1510201961,0.0744680874,21,100
Market-Adjusted Model,12360,2022-11-30,-0.069101657,-0.04708633,-0.074786501,21,100
Market-Adjusted Model,12363,2022-11-30,0.3342618611,0.3015188582,0.3285770166,21,100
Market-Adjusted Model,12366,2022-11-30,0.0042715203,-0.001517538,-0.001413324,21,100
Market-Adjusted Model,12367,2022-11-30,-0.04583332,-0.022549548,-0.051518164,21,100
Market-Adjusted Model,12368,2022-11-30,0.0369613,0.0301001195,0.0312764555,21,100
Market-Adjusted Model,12369,2022-11-30,-0.037180254,-0.04193147,-0.042865099,21,100
Market-Adjusted Model,12370,2022-11-30,0.0428774282,0.0419746472,0.0371925837,21,100
Market-Adjusted Model,12372,2022-11-30,-0.079645977,-0.083948656,-0.085330822,21,100
Market-Adjusted Model,12373,2022-11-30,0.1531045175,0.1395537438,0.147419673,21,100
Market-Adjusted Model,12376,2022-11-30,-0.043263335,-0.049092566,-0.04894818,21,100
Market-Adjusted Model,12377,2022-11-30,-0.041787543,-0.016234594,-0.047472388,21,100
Market-Adjusted Model,12380,2022-11-30,0.0039761401,0.0012026757,-0.001708704,21,100
Market-Adjusted Model,12385,2022-11-30,0.0622084136,0.0546344191,0.0565235691,21,100
Market-Adjusted Model,12391,2022-11-30,-0.116071437,-0.126376243,-0.121756282,21,100
Market-Adjusted Model,12397,2022-11-30,-0.194244598,-0.200710482,-0.199929443,21,100
Market-Adjusted Model,12400,2022-11-30,-0.071001559,-0.073222368,-0.076686403,21,100
Market-Adjusted Model,12411,2022-11-30,0.0303029979,0.0381627349,0.0246181534,21,100
Market-Adjusted Model,12412,2022-11-30,0.0425531514,0.0358691303,0.0368683069,21,100
Market-Adjusted Model,12431,2022-11-30,0.0187055448,0.0128759912,0.0130207003,21,100
Market-Adjusted Model,12437,2022-11-30,-0.001896677,-0.008853015,-0.007581522,21,100
Market-Adjusted Model,12442,2022-11-30,-0.115147773,-0.109755564,-0.120832617,21,100
Market-Adjusted Model,12443,2022-11-30,0.0960725245,0.1038757698,0.09038768,21,100
Market-Adjusted Model,12447,2022-11-30,-0.074561706,-0.074241005,-0.080246551,21,100
Market-Adjusted Model,12448,2022-11-30,-0.006703772,-0.006990678,-0.012388617,21,100
Market-Adjusted Model,12449,2022-11-30,-0.009906142,-0.014095888,-0.015590987,21,100
Market-Adjusted Model,12452,2022-11-30,0.0395347944,0.0413766956,0.0338499499,21,100
Market-Adjusted Model,12453,2022-11-30,0.0062862704,-0.000710194,0.0006014259,21,100
Market-Adjusted Model,12457,2022-11-30,0.0212463018,0.0146062626,0.0155614573,21,100
Market-Adjusted Model,12461,2022-11-30,-0.014142639,-0.020157472,-0.019827483,21,100
Market-Adjusted Model,12462,2022-11-30,0.007457428,0.0013662438,0.0017725835,21,100
Market-Adjusted Model,12472,2022-11-30,0.2196788298,0.1960013705,0.2139939853,21,100
Market-Adjusted Model,12473,2022-11-30,0.0471176168,0.0424686833,0.0414327723,21,100
Market-Adjusted Model,12476,2022-11-30,0.018912433,0.017207022,0.0132275885,21,100
Market-Adjusted Model,12477,2022-11-30,-0.019305387,-0.021302001,-0.024990232,21,100
Market-Adjusted Model,12480,2022-11-30,0.0058184467,0.0014391832,0.0001336022,21,100
Market-Adjusted Model,12487,2022-11-30,-0.077287126,-0.080616027,-0.08297197,21,100
Market-Adjusted Model,12488,2022-11-30,-0.233147392,-0.250886852,-0.238832237,21,100
Market-Adjusted Model,12490,2022-11-30,0.039251066,0.0322060087,0.0335662215,21,100
Market-Adjusted Model,12495,2022-11-30,0.2112849555,0.22368391,0.205600111,21,100
Market-Adjusted Model,12497,2022-11-30,-0.193103503,-0.202829853,-0.198788347,21,100
Market-Adjusted Model,12500,2022-11-30,-0.075143746,-0.065562217,-0.080828591,21,100
Market-Adjusted Model,12502,2022-11-30,-0.00996821,-0.011849896,-0.015653055,21,100
Market-Adjusted Model,12505,2022-11-30,-0.068046787,-0.076247726,-0.073731632,21,100
Market-Adjusted Model,12508,2022-11-30,0.0379330937,0.0309442298,0.0322482492,21,100
Market-Adjusted Model,12510,2022-11-30,-4.246612E-9,-0.002177209,-0.005684849,21,100
Market-Adjusted Model,12513,2022-11-30,-0.00224823,-0.006643214,-0.007933074,21,100
Market-Adjusted Model,12514,2022-11-30,0.079830121,0.0721799036,0.0741452765,21,100
Market-Adjusted Model,12515,2022-11-30,-0.102496032,-0.11118195,-0.108180876,21,100
Market-Adjusted Model,12516,2022-11-30,0.0031049316,-0.003228728,-0.002579913,21,100
Market-Adjusted Model,12523,2022-11-30,0.0888448379,0.0798030831,0.0831599934,21,100
Market-Adjusted Model,12527,2022-11-30,-0.676470609,-0.827335663,-0.682155453,21,100
Market-Adjusted Model,12528,2022-11-30,-0.034344008,-0.041220295,-0.040028852,21,100
Market-Adjusted Model,12530,2022-11-30,-0.089966474,-0.10005128,-0.095651319,21,100
Market-Adjusted Model,12531,2022-11-30,-0.1732169,-0.190942642,-0.178901745,21,100
Market-Adjusted Model,12533,2022-11-30,0.0160143231,0.0112715423,0.0103294786,21,100
Market-Adjusted Model,12534,2022-11-30,0.0256096535,0.0206911936,0.019924809,21,100
Market-Adjusted Model,12535,2022-11-30,0.0026599228,-0.002880119,-0.003024922,21,100
Market-Adjusted Model,12536,2022-11-30,0.0305554384,0.0245249728,0.0248705939,21,100
Market-Adjusted Model,12537,2022-11-30,-0.01942485,-0.026478821,-0.025109694,21,100
Market-Adjusted Model,12540,2022-11-30,-0.080562676,-0.084228027,-0.08624752,21,100
Market-Adjusted Model,12543,2022-11-30,-0.006785422,-0.013453704,-0.012470266,21,100
Market-Adjusted Model,12552,2022-11-30,0.0199047241,0.0134808689,0.0142198796,21,100
Market-Adjusted Model,12558,2022-11-30,-0.022665951,-0.027741359,-0.028350795,21,100
Market-Adjusted Model,12564,2022-11-30,0.0273855122,0.0206734499,0.0217006677,21,100
Market-Adjusted Model,12565,2022-11-30,0.0397098178,0.0323712092,0.0340249733,21,100
Market-Adjusted Model,12566,2022-11-30,-0.019619515,-0.022515271,-0.02530436,21,100
Market-Adjusted Model,12569,2022-11-30,0.1794872453,0.1806818487,0.1738024008,21,100
Market-Adjusted Model,12570,2022-11-30,0.0031235198,-0.000751062,-0.002561325,21,100
Market-Adjusted Model,12573,2022-11-30,0.0370370066,0.0549925156,0.0313521621,21,100
Market-Adjusted Model,12577,2022-11-30,-0.034246622,-0.01800444,-0.039931467,21,100
Market-Adjusted Model,12578,2022-11-30,0.0298603399,0.0245206641,0.0241754954,21,100
Market-Adjusted Model,12579,2022-11-30,-0.168776319,-0.169967629,-0.174461163,21,100
Market-Adjusted Model,12583,2022-11-30,-0.178361474,-0.197948312,-0.184046319,21,100
Market-Adjusted Model,12591,2022-11-30,0.0628714025,0.0604507088,0.057186558,21,100
Market-Adjusted Model,12592,2022-11-30,-0.002654141,0.0423163041,-0.008338986,21,100
Market-Adjusted Model,12593,2022-11-30,0.0113402684,0.0057999357,0.0056554239,21,100
Market-Adjusted Model,12615,2022-11-30,0.0610083833,0.0575559633,0.0553235388,21,100
Market-Adjusted Model,12621,2022-11-30,-0.019140274,-0.023370316,-0.024825118,21,100
Market-Adjusted Model,12622,2022-11-30,0.1017145248,0.0919895561,0.0960296803,21,100
Market-Adjusted Model,12623,2022-11-30,0.0611957886,0.0544236804,0.0555109441,21,100
Market-Adjusted Model,12625,2022-11-30,0.0085311829,0.002365796,0.0028463384,21,100
Market-Adjusted Model,12628,2022-11-30,0.1371125262,0.126957885,0.1314276817,21,100
Market-Adjusted Model,12629,2022-11-30,-0.029197055,-0.02936888,-0.0348819,21,100
Market-Adjusted Model,12631,2022-11-30,0.0118247873,0.0048758223,0.0061399428,21,100
Market-Adjusted Model,12633,2022-11-30,-0.025104677,-0.032067927,-0.030789521,21,100
Market-Adjusted Model,12641,2022-11-30,0.0391061778,0.0330420349,0.0334213333,21,100
Market-Adjusted Model,12644,2022-11-30,-0.068404453,-0.069932697,-0.074089297,21,100
Market-Adjusted Model,12646,2022-11-30,0.0076588467,0.0037436988,0.0019740022,21,100
Market-Adjusted Model,12647,2022-11-30,0.0441550005,0.0370797161,0.038470156,21,100
Market-Adjusted Model,12648,2022-11-30,-0.050310068,-0.056178634,-0.055994913,21,100
Market-Adjusted Model,12649,2022-11-30,-0.049366432,-0.052662456,-0.055051277,21,100
Market-Adjusted Model,12651,2022-11-30,0.0435261266,0.0393134235,0.0378412821,21,100
Market-Adjusted Model,12652,2022-11-30,0.0638717684,0.0563616959,0.0581869239,21,100
Market-Adjusted Model,12654,2022-11-30,0.0261282847,0.0198251891,0.0204434402,21,100
Market-Adjusted Model,12655,2022-11-30,0.0292968933,0.0228169716,0.0236120488,21,100
Market-Adjusted Model,12656,2022-11-30,-0.016387953,-0.021724479,-0.022072798,21,100
Market-Adjusted Model,12657,2022-11-30,-0.001350689,-0.006865576,-0.007035533,21,100
Market-Adjusted Model,12658,2022-11-30,-0.019381319,-0.024476434,-0.025066164,21,100
Market-Adjusted Model,12659,2022-11-30,-0.014693328,-0.020446699,-0.020378173,21,100
Market-Adjusted Model,12662,2022-11-30,0.0527343716,0.0461197929,0.0470495271,21,100
Market-Adjusted Model,12666,2022-11-30,0.0034620412,-0.003579695,-0.002222803,21,100
Market-Adjusted Model,12672,2022-11-30,-0.027545359,-0.034576075,-0.033230204,21,100
Market-Adjusted Model,12673,2022-11-30,0.053757077,0.0467691936,0.0480722325,21,100
Market-Adjusted Model,12675,2022-11-30,0.0504084917,0.0425337553,0.0447236472,21,100
Market-Adjusted Model,12676,2022-11-30,0.0498068555,0.0417290943,0.044122011,21,100
Market-Adjusted Model,12680,2022-11-30,-0.005376338,-0.002128928,-0.011061183,21,100
Market-Adjusted Model,12681,2022-11-30,0.0523046912,0.0465009106,0.0466198467,21,100
Market-Adjusted Model,12684,2022-11-30,0.0709219881,0.0650109669,0.0652371436,21,100
Market-Adjusted Model,12690,2022-11-30,-0.103614469,-0.110298448,-0.109299313,21,100
Market-Adjusted Model,12693,2022-11-30,0.0111011076,0.004567706,0.0054162631,21,100
Market-Adjusted Model,12697,2022-11-30,-0.146341515,-0.159256125,-0.152026359,21,100
